1000; EMCY_LEVEL_SYSTEM; Driver: Up Command; 
F458; EMCY_LEVEL_FC; FC fan R1 fuse blown; 
F459; EMCY_LEVEL_FC; FC fan R2 overcurrent; 
F45A; EMCY_LEVEL_FC; FC fan R2 fuse blown; 
F45B; EMCY_LEVEL_FC; FC fan L1 overcurrent; 
F45C; EMCY_LEVEL_FC; FC fan L1 fuse blown; 
F45D; EMCY_LEVEL_FC; Front tank empty; 
F45E; EMCY_LEVEL_FC; Front tank near empty; 
F45F; EMCY_LEVEL_FC; Rear tank empty; 
F460; EMCY_LEVEL_FC; Rear tank near empty; 
F461; EMCY_LEVEL_FC; Tanks empty; 
F462; EMCY_LEVEL_FC; Tanks near empty; 
F463; EMCY_LEVEL_FC; Invalid DCDC setpoint; 
F464; EMCY_LEVEL_FC;  FC RECOVER FAILED; 
F465; EMCY_LEVEL_FC; FC cool ZERO pres.; 
F466; EMCY_LEVEL_FC; AMK cool ZERO pres.; 
F467; EMCY_LEVEL_FC; FC cool pump overtemp; 
F468; EMCY_LEVEL_FC; FC cool pump overcurr; 
F469; EMCY_LEVEL_FC; FC cool pump blocked; 
F46A; EMCY_LEVEL_FC; AMK coolpump overtemp; 
F46B; EMCY_LEVEL_FC; AMK coolpump overcurr; 
F46C; EMCY_LEVEL_FC; AMK coolpump blocked; 
F46D; EMCY_LEVEL_FC; FC pump vicors fault; 
F46E; EMCY_LEVEL_FC; FC pump vicors temp; 
F46F; EMCY_LEVEL_FC; Front tank not found; 
F470; EMCY_LEVEL_FC; Rear tank not found; 
F471; EMCY_LEVEL_FC; Using prev. tank mass; 
F472; EMCY_LEVEL_FC; Tank line pres failed; 
F473; EMCY_LEVEL_FC; Using est. tank mass; 
F474; EMCY_LEVEL_FC; Front tank too cold; 
F475; EMCY_LEVEL_FC; Rear tank too cold; 
F476; EMCY_LEVEL_FC; Front tank cold warn; 
F477; EMCY_LEVEL_FC; Rear tank cold warn; 
F478; EMCY_LEVEL_FC; H2 Front CAN Timeout; 
F479; EMCY_LEVEL_FC; F.Tank forced close; 
F500; EMCY_LEVEL_SYSTEM; System EMCY received; hide
F501; EMCY_LEVEL_SYSTEM; High side HB lost; 
F502; EMCY_LEVEL_SYSTEM; Low side HB lost; 
F503; EMCY_LEVEL_SYSTEM; PDU HB lost; 
F504; EMCY_LEVEL_SYSTEM; Anode HB lost; 
F505; EMCY_LEVEL_SYSTEM; Cathode HB lost; 
F506; EMCY_LEVEL_SYSTEM; Rear HB lost; 
F507; EMCY_LEVEL_SYSTEM; Front HB lost; 
F508; EMCY_LEVEL_SYSTEM; Data acq. HB lost; 
F509; EMCY_LEVEL_SYSTEM; FC invalid state; 
F50A; EMCY_LEVEL_SYSTEM; Trac invalid state; 
F50B; EMCY_LEVEL_SYSTEM; HS invalid state; 
F50C; EMCY_LEVEL_SYSTEM; LS invalid state; 
F50D; EMCY_LEVEL_SYSTEM; LV invalid state; 
F50E; EMCY_LEVEL_SYSTEM; Master invalid cmd; 
F50F; EMCY_LEVEL_SYSTEM; Master cmd no effect; 
F510; EMCY_LEVEL_SYSTEM; Master FSM timeout; 
F511; EMCY_LEVEL_SYSTEM; Master command error; 
F512; EMCY_LEVEL_SYSTEM; RTC battery empty; 
F513; EMCY_LEVEL_SYSTEM; No SD card; 
F514; EMCY_LEVEL_SYSTEM; FAT FS error; 
F515; EMCY_LEVEL_SYSTEM; Logging overrun; 
F516; EMCY_LEVEL_SYSTEM; Unknown EMCY; 
F517; EMCY_LEVEL_SYSTEM; Watchdog boot timeout; 
F518; EMCY_LEVEL_SYSTEM; Watchdog OS timeout; 
F519; EMCY_LEVEL_SYSTEM; Dash setting timeout; 
FA00; EMCY_LEVEL_SYSTEM; MCP message error; hide
FA01; EMCY_LEVEL_SYSTEM; MCP unexpected wakeup; hide
FA02; EMCY_LEVEL_SYSTEM; MCP error; hide
FA03; EMCY_LEVEL_SYSTEM; MCP message timeout; hide
FA04; EMCY_LEVEL_SYSTEM; MCP SPI timeout; hide
FA05; EMCY_LEVEL_SYSTEM; MCP overrun; hide
FA06; EMCY_LEVEL_SYSTEM; MCP illegal code exec; hide
